dataset,comparison,metric,n_seeds,mean_diff,sd_diff,ci_low,ci_high
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,5,-0.00035207399315337893,0.0004288740708125915,-0.0006490855327292655,3.513392996983278e-05
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,5,0.1640845437116126,0.05068977064857838,0.12580848547283924,0.20255143740893153
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,5,0.06208606039798328,0.013837892879927314,0.0517648340473823,0.07348967644684623
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,5,-0.2731756272401434,0.027399430528925905,-0.29783512544802865,-0.2555698924731183
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,acc_kept,5,-0.0002946664015877953,0.0004714104756729005,-0.0006119309606479106,0.00012498335910167136
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,ari_kept,5,0.1436916881698849,0.044859469675400394,0.10932305139340537,0.17877309071998465
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,nmi_kept,5,0.05508446310114638,0.011256120910785853,0.046386370995045126,0.06378255520724765
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,coverage,5,-0.24103225806451614,0.02284493454330396,-0.25812186379928315,-0.2229247311827957
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,5,0.06730051110615362,0.04317928898771654,0.033394388887612814,0.10224256598939192
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,5,0.09853134331381821,0.02577761904466633,0.0787851739611182,0.11827751266651823
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,5,0.04849533619674602,0.014289923893720422,0.03709736292508481,0.05989330946840723
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,5,-0.1758781042841595,0.06789521420663198,-0.23508459483526273,-0.12735727713465914
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,acc_kept,5,0.0417478437601632,0.033120692147977714,0.016018232450406168,0.06685613997852269
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,ari_kept,5,0.06519806766876426,0.018935336787693706,0.0514347875663834,0.08035568782458957
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,nmi_kept,5,0.031463110011417904,0.014800674615095254,0.02018194169392893,0.043098316742441536
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,coverage,5,-0.13858711783912142,0.06695596766041742,-0.19592361729494412,-0.09699218363510442
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,5,0.0257854419655299,0.015337701219931952,0.013482757685374014,0.037298596495363934
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,5,0.0694781693286511,0.024664869157732076,0.05106335348907507,0.08733903021721916
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,5,0.02490465254087202,0.011420379976855199,0.016872614048544277,0.03455705358636256
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,5,-0.1878975629904998,0.03952088634632753,-0.21862866584056176,-0.15716646014043784
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,acc_kept,5,0.021634256380004935,0.01729078054966277,0.008053981687717227,0.035214531072292644
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,ari_kept,5,0.06124151409681812,0.019117650709056938,0.04690241515897359,0.0759972849665303
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,nmi_kept,5,0.021837025447811853,0.009794499869546001,0.015034337289434619,0.030519561447823328
M_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,coverage,5,-0.1694341181330029,0.028218089109870233,-0.19029326724494008,-0.1465923172242875
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,5,0.03448317671948771,0.00722836343233282,0.028957038488604692,0.040009314950370724
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,5,0.10012979623191716,0.023683503209207146,0.08142278254095267,0.117588369252922
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,5,0.039251698603607464,0.010517755770855796,0.03114603462327954,0.04735736258393539
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,5,-0.19527027027027027,0.03378528525192008,-0.22094594594594597,-0.16959459459459458
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,acc_kept,5,0.031640659383614225,0.007422034092908451,0.02587029051651184,0.03708293907620299
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,ari_kept,5,0.09129204155476865,0.023712193311203632,0.07424598744458626,0.11168718290005901
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,nmi_kept,5,0.036670476505149895,0.010331035435606909,0.02871814329295288,0.04462280971734691
M_new_drop5_drop7,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,coverage,5,-0.1775225225225225,0.029917846011074632,-0.20211711711711713,-0.15247747747747747
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,20,0.03180426394950446,0.03268316732965155,0.018842240563231017,0.04654652216875442
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,20,0.10805596314649976,0.04674553902269715,0.08934494517830634,0.12909893106308107
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,20,0.043684436934802194,0.018089572049848054,0.03606385129590796,0.051536458806205485
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,20,-0.20805539119626823,0.05688605457773808,-0.2325035422614265,-0.18380288238787004
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,acc_kept,20,0.023682023280548643,0.023674308094416643,0.014026571115119785,0.03412439517662719
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,ari_kept,20,0.09035582787255898,0.0428125780770242,0.07336547439636293,0.10994595528112261
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,nmi_kept,20,0.03626376876638151,0.01641805322133065,0.029359812573010947,0.04335026255018694
ALL,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,coverage,20,-0.18164400413979076,0.053567450474354454,-0.20425857567752823,-0.15887945416782384
