acc_kept_mean,acc_kept_sd,ami_all_mean,ami_all_sd,ami_kept_mean,ami_kept_sd,ari_all_mean,ari_all_sd,ari_kept_mean,ari_kept_sd,completeness_all_mean,completeness_all_sd,completeness_kept_mean,completeness_kept_sd,conservative_overall_accuracy_mean,conservative_overall_accuracy_sd,coverage_mean,coverage_sd,dataset,homogeneity_all_mean,homogeneity_all_sd,homogeneity_kept_mean,homogeneity_kept_sd,method,nmi_all_mean,nmi_all_sd,nmi_kept_mean,nmi_kept_sd,rejection_rate_mean,rejection_rate_sd,runs,v_measure_all_mean,v_measure_all_sd,v_measure_kept_mean,v_measure_kept_sd
0.9877706093189964,0.00020652129449301283,0.7553324194133324,0.0033625507272097965,0.7553324194133324,0.0033625507272097965,0.36477420502543956,0.011452565531544367,0.36477420502543956,0.011452565531544367,0.6170693421686904,0.0044582440567480265,0.6170693421686904,0.0044582440567480265,0.9877706093189964,0.00020652129449301283,1.0,0.0,F_new,0.9753470410699248,0.0002346912014147533,0.9753470410699248,0.0002346912014147533,DINOv2+KMeans,0.7558963497998954,0.003357435855637018,0.7558963497998954,0.003357435855637018,0.0,0.0,5,0.7558963497998954,0.003357435855637036,0.7558963497998954,0.003357435855637036
0.9983225806451612,0.000468972823908129,0.7782206143861077,0.004308263825068577,0.7782206143861077,0.004308263825068577,0.39274178114982605,0.009734242746507702,0.39274178114982605,0.009734242746507702,0.6396807326898771,0.005542939492570261,0.6396807326898771,0.005542939492570261,0.9983225806451612,0.000468972823908129,1.0,0.0,F_new,0.9950788783359394,0.0010694000715055381,0.9950788783359394,0.0010694000715055381,DINOv2+UMAP+Agglomerative,0.7787381632699018,0.004302227070899011,0.7787381632699018,0.004302227070899011,0.0,0.0,5,0.7787381632699018,0.004302227070899057,0.7787381632699018,0.004302227070899057
0.9984946236559139,0.0004055092651965741,0.7690001434931836,0.003360376116404133,0.7690001434931836,0.003360376116404133,0.3583523759347472,0.010464219028529969,0.3583523759347472,0.010464219028529969,0.6272466659376645,0.004456534752534846,0.6272466659376645,0.004456534752534846,0.9984946236559139,0.0004055092651965741,1.0,0.0,F_new,0.9953324715875824,0.0009603587765361425,0.9953324715875824,0.0009603587765361425,DINOv2+UMAP+Birch,0.7695314488344083,0.0033552771238857396,0.7695314488344083,0.0033552771238857396,0.0,0.0,5,0.7695314488344083,0.0033552771238857114,0.7695314488344083,0.0033552771238857114
0.9983225806451612,0.000468972823908129,0.7743286425343432,0.006915597554085775,0.7743286425343432,0.006915597554085775,0.37541457397214756,0.016382054580097546,0.37541457397214756,0.016382054580097546,0.6344747424573031,0.008898198476876203,0.6344747424573031,0.008898198476876203,0.9983225806451612,0.000468972823908129,1.0,0.0,F_new,0.9950789660653838,0.0010707603929232163,0.9950789660653838,0.0010707603929232163,DINOv2+UMAP+KMeans,0.7748525579408252,0.0069051464456192655,0.7748525579408252,0.0069051464456192655,0.0,0.0,5,0.7748525579408252,0.006905146445619318,0.7748525579408252,0.006905146445619318
0.9979705066520079,0.0005586937990695585,0.7743286425343432,0.006915597554085775,0.8365125861503534,0.014533537838790979,0.37541457397214756,0.016382054580097546,0.5394991176837601,0.052121633513136756,0.6344747424573031,0.008898198476876203,0.7227424258570735,0.020739662087481923,0.7253476702508961,0.027299529682014455,0.7268243727598567,0.027399430528925905,F_new,0.9950789660653838,0.0010707603929232163,0.9943423624089197,0.0013726820758764755,DINOv2+UMAP+all3,0.7748525579408252,0.0069051464456192655,0.8369386183388086,0.014493199200080714,0.2731756272401434,0.027399430528925933,5,0.7748525579408252,0.006905146445619318,0.8369386183388086,0.01449319920008075
0.9982651730535956,0.0004897731852892004,0.7743286425343432,0.006915597554085775,0.7813331122668572,0.00707538672812616,0.37541457397214756,0.016382054580097546,0.3958074295138752,0.01693201277509895,0.6344747424573031,0.008898198476876203,0.6439560245443058,0.009191497311967292,0.9661792114695341,0.020621713586289427,0.9678566308243728,0.020559959592338986,F_new,0.9950789660653838,0.0010707603929232163,0.9949929414542164,0.0010943610494852328,DINOv2+UMAP+any2,0.7748525579408252,0.0069051464456192655,0.7818541552376621,0.007066135801508092,0.03214336917562723,0.02055995959233899,5,0.7748525579408252,0.006905146445619318,0.7818541552376621,0.007066135801508033
0.7090871540685668,0.020076431594728487,0.6614246015236682,0.012771951744566409,0.6614246015236682,0.012771951744566409,0.37936870475549095,0.017499728145543254,0.37936870475549095,0.017499728145543254,0.592404004171587,0.011745672249560395,0.592404004171587,0.011745672249560395,0.7090871540685668,0.020076431594728487,1.0,0.0,M_new,0.7553027723254468,0.013736398415593055,0.7553027723254468,0.013736398415593055,DINOv2+KMeans,0.6640078653597188,0.012677236002648376,0.6640078653597188,0.012677236002648376,0.0,0.0,5,0.6640078653597188,0.012677236002648397,0.6640078653597188,0.012677236002648397
0.773564642709624,0.009950407128402887,0.7251676711240975,0.004779732583959568,0.7251676711240975,0.004779732583959568,0.4822338005703129,0.008369123848882234,0.4822338005703129,0.008369123848882234,0.6638727620065523,0.004773806002377571,0.6638727620065523,0.004773806002377571,0.773564642709624,0.009950407128402887,1.0,0.0,M_new,0.804262223053491,0.0055074354174748505,0.804262223053491,0.0055074354174748505,DINOv2+UMAP+Agglomerative,0.7273510696172837,0.004743188274366241,0.7273510696172837,0.004743188274366241,0.0,0.0,5,0.7273510696172835,0.0047431882743662074,0.7273510696172835,0.0047431882743662074
0.78211482858323,0.008922554554823605,0.72675035319571,0.0009784481030895142,0.72675035319571,0.0009784481030895142,0.4889825718380683,0.002666388906968232,0.4889825718380683,0.002666388906968232,0.6627632323989026,0.0011221583305268564,0.6627632323989026,0.0011221583305268564,0.78211482858323,0.008922554554823605,1.0,0.0,M_new,0.8097170724570848,0.0011498533055720346,0.8097170724570848,0.0011498533055720346,DINOv2+UMAP+Birch,0.7289067278146021,0.0009713028940195288,0.7289067278146021,0.0009713028940195288,0.0,0.0,5,0.7289067278146021,0.0009713028940195426,0.7289067278146021,0.0009713028940195426
0.7902932672449401,0.01598518347738569,0.7300133339716635,0.011014379549583921,0.7300133339716635,0.011014379549583921,0.488195092462911,0.01928154924271451,0.488195092462911,0.01928154924271451,0.6664381225775126,0.01292579952804767,0.6664381225775126,0.01292579952804767,0.7902932672449401,0.01598518347738569,1.0,0.0,M_new,0.8122730960739606,0.00804574943067033,0.8122730960739606,0.00804574943067033,DINOv2+UMAP+KMeans,0.7321482827002569,0.01094283879399218,0.7321482827002569,0.01094283879399218,0.0,0.0,5,0.7321482827002569,0.010942838793992177,0.7321482827002569,0.010942838793992177
0.81607870921047,0.02793101580407255,0.7300133339716635,0.011014379549583921,0.7548770984450874,0.02092464223074713,0.488195092462911,0.01928154924271451,0.5576732617915621,0.04008531989869895,0.6664381225775126,0.01292579952804767,0.7006891974459475,0.02512321377337946,0.6622057001239158,0.025420602005694806,0.8121024370095002,0.03952088634632753,M_new,0.8122730960739606,0.00804574943067033,0.8234114749612006,0.014798152242279974,DINOv2+UMAP+all3,0.7321482827002569,0.01094283879399218,0.757052935241129,0.020708349252933023,0.18789756299049978,0.03952088634632753,5,0.7321482827002569,0.010942838793992177,0.757052935241129,0.020708349252933
0.794444452830465,0.014755646468556287,0.7300133339716635,0.011014379549583921,0.7330650360246296,0.011427304849229242,0.488195092462911,0.01928154924271451,0.496431747694744,0.021954173958000707,0.6664381225775126,0.01292579952804767,0.6699450388650405,0.014376811888604431,0.7796365138372574,0.009089500654549916,0.9815365551425032,0.015279172760728234,M_new,0.8122730960739606,0.00804574943067033,0.8146465620824511,0.007070468755927649,DINOv2+UMAP+any2,0.7321482827002569,0.01094283879399218,0.7352159097933171,0.011361869769131996,0.018463444857496902,0.015279172760728202,5,0.7321482827002569,0.010942838793992177,0.7352159097933171,0.011361869769131998
0.7904504504504504,0.00942265469794427,0.6840216025555167,0.0050479834787034925,0.6840216025555167,0.0050479834787034925,0.41536533432103206,0.011019216892076607,0.41536533432103206,0.011019216892076607,0.5956882456139391,0.002939497898660486,0.5956882456139391,0.002939497898660486,0.7904504504504504,0.00942265469794427,1.0,0.0,M_new_drop5_drop7,0.8090768323372608,0.008611760683593504,0.8090768323372608,0.008611760683593504,DINOv2+KMeans,0.6861703258661176,0.00500337771178105,0.6861703258661176,0.00500337771178105,0.0,0.0,5,0.6861703258661175,0.005003377711781087,0.6861703258661175,0.005003377711781087
0.8381981981981982,0.011275441522506927,0.7332903582732531,0.005636656505868615,0.7332903582732531,0.005636656505868615,0.49739285755659957,0.008246247343573692,0.49739285755659957,0.008246247343573692,0.649791961607548,0.006417796038922622,0.649791961607548,0.006417796038922622,0.8381981981981982,0.011275441522506927,1.0,0.0,M_new_drop5_drop7,0.8464272319054652,0.006622733244074948,0.8464272319054652,0.006622733244074948,DINOv2+UMAP+Agglomerative,0.7351746113496784,0.0056026432668211095,0.7351746113496784,0.0056026432668211095,0.0,0.0,5,0.7351746113496785,0.00560264326682114,0.7351746113496785,0.00560264326682114
0.8386936936936937,0.022850872304307553,0.7283995644691023,0.011783884264514648,0.7283995644691023,0.011783884264514648,0.49634697011773665,0.01739014895550273,0.49634697011773665,0.01739014895550273,0.6434185070452811,0.010188873268154855,0.6434185070452811,0.010188873268154855,0.8386936936936937,0.022850872304307553,1.0,0.0,M_new_drop5_drop7,0.8443238591848535,0.013977136518544712,0.8443238591848535,0.013977136518544712,DINOv2+UMAP+Birch,0.7303035803941681,0.01170146653565565,0.7303035803941681,0.01170146653565565,0.0,0.0,5,0.7303035803941681,0.01170146653565568,0.7303035803941681,0.01170146653565568
0.8469819819819818,0.005622967758671885,0.7357142468903343,0.003433462555014188,0.7357142468903343,0.003433462555014188,0.49710388019606944,0.0043701187551746035,0.49710388019606944,0.0043701187551746035,0.6514404694032565,0.0052723049213116106,0.6514404694032565,0.0052723049213116106,0.8469819819819818,0.005622967758671885,1.0,0.0,M_new_drop5_drop7,0.8499946621799707,0.001380911704614442,0.8499946621799707,0.001380911704614442,DINOv2+UMAP+KMeans,0.737578935317547,0.003421086097736402,0.737578935317547,0.003421086097736402,0.0,0.0,5,0.7375789353175471,0.003421086097736443,0.7375789353175471,0.003421086097736443
0.8814651587014696,0.007342679423575077,0.7357142468903343,0.003433462555014188,0.7750820880449238,0.009802793880667335,0.49710388019606944,0.0043701187551746035,0.5972336764279864,0.022255751435082065,0.6514404694032565,0.0052723049213116106,0.6973108360553012,0.012783884323226144,0.7091441441441442,0.023867817521796883,0.8047297297297297,0.03378528525192008,M_new_drop5_drop7,0.8499946621799707,0.001380911704614442,0.876888479755117,0.004863404967043427,DINOv2+UMAP+all3,0.737578935317547,0.003421086097736402,0.7768306339211546,0.009751878615133906,0.19527027027027025,0.03378528525192006,5,0.7375789353175471,0.003421086097736443,0.7768306339211546,0.0097518786151339
0.8498244993178554,0.0060813051981286875,0.7357142468903343,0.003433462555014188,0.7382829796916689,0.0036351327260429637,0.49710388019606944,0.0043701187551746035,0.5059416348732179,0.0075194462328971035,0.6514404694032565,0.0052723049213116106,0.6540955807247065,0.004838663154980107,0.8346846846846846,0.006932767554784405,0.9822522522522522,0.013470652750054067,M_new_drop5_drop7,0.8499946621799707,0.001380911704614442,0.8523267211313812,0.0034027798920842653,DINOv2+UMAP+any2,0.737578935317547,0.003421086097736402,0.7401601574160046,0.0036244884620155533,0.017747747747747747,0.013470652750054081,5,0.7375789353175471,0.003421086097736443,0.7401601574160047,0.0036244884620155763
0.825576333234392,0.011173330293985014,0.6917045620526999,0.008074005560827808,0.6917045620526999,0.008074005560827808,0.38549203810934235,0.012395284196144066,0.38549203810934235,0.012395284196144066,0.6125625883923768,0.007272985742791131,0.6125625883923768,0.007272985742791131,0.825576333234392,0.011173330293985014,1.0,0.0,V_new,0.7959415132606069,0.0090903649898658,0.7959415132606069,0.0090903649898658,DINOv2+KMeans,0.6923141221637021,0.008058190953864197,0.6923141221637021,0.008058190953864197,0.0,0.0,5,0.6923141221637021,0.008058190953864305,0.6923141221637021,0.008058190953864305
0.8969130305728703,0.00041596562797229484,0.8357473735231418,0.003976248248155263,0.8357473735231418,0.003976248248155263,0.6455999296149101,0.010372372004523529,0.6455999296149101,0.010372372004523529,0.7883377942097034,0.005019835090123941,0.7883377942097034,0.005019835090123941,0.8969130305728703,0.00041596562797229484,1.0,0.0,V_new,0.8900437933168508,0.002932713216927772,0.8900437933168508,0.002932713216927772,DINOv2+UMAP+Agglomerative,0.8361065080857625,0.003968737071845247,0.8361065080857625,0.003968737071845247,0.0,0.0,5,0.8361065080857625,0.003968737071845301,0.8361065080857625,0.003968737071845301
0.9233402592262788,0.02457448942507346,0.8392366967332487,0.009406914735897316,0.8392366967332487,0.009406914735897316,0.6447993786041735,0.01940586811063773,0.6447993786041735,0.01940586811063773,0.7847644089725054,0.014610820540337785,0.7847644089725054,0.014610820540337785,0.9233402592262788,0.02457448942507346,1.0,0.0,V_new,0.9028811333370342,0.012736804213856655,0.9028811333370342,0.012736804213856655,DINOv2+UMAP+Birch,0.8395846747854749,0.009389746222858963,0.8395846747854749,0.009389746222858963,0.0,0.0,5,0.8395846747854749,0.009389746222858986,0.8395846747854749,0.009389746222858986
0.8886613238349659,0.04014541479489419,0.8269890934722482,0.009312000518467884,0.8269890934722482,0.009312000518467884,0.6240894004295192,0.02213364709983276,0.6240894004295192,0.02213364709983276,0.7824696283181076,0.003725854794604819,0.7824696283181076,0.003725854794604819,0.8886613238349659,0.04014541479489419,1.0,0.0,V_new,0.8780410329631957,0.02264131376946253,0.8780410329631957,0.02264131376946253,DINOv2+UMAP+KMeans,0.8273710104905637,0.009284124750436372,0.8273710104905637,0.009284124750436372,0.0,0.0,5,0.8273710104905637,0.009284124750436416,0.8273710104905637,0.009284124750436416
0.9559618349411195,0.005497171724556307,0.8269890934722482,0.009312000518467884,0.8756054131621653,0.012240612608635345,0.6240894004295192,0.02213364709983276,0.7226207437433374,0.027513022651510642,0.7824696283181076,0.003725854794604819,0.8291725309412264,0.023049327817316504,0.7875927574948055,0.061453732283556994,0.8241218957158404,0.06789521420663198,V_new,0.8780410329631957,0.02264131376946253,0.9285222159324803,0.0067112091123957725,DINOv2+UMAP+all3,0.8273710104905637,0.009284124750436372,0.8758663466873097,0.012182374049147088,0.1758781042841595,0.06789521420663196,5,0.8273710104905637,0.009284124750436416,0.8758663466873099,0.012182374049147094
0.9142139911809564,0.028683161877770192,0.8269890934722482,0.009312000518467884,0.8440531243151437,0.012597988437142962,0.6240894004295192,0.02213364709983276,0.6574226760745732,0.027646144226609163,0.7824696283181076,0.003725854794604819,0.7975434726236708,0.012810454045771963,0.8801226872464628,0.040657052113123315,0.9627090135549619,0.03283522662126252,V_new,0.8780410329631957,0.02264131376946253,0.897234025017356,0.01668947956220747,DINOv2+UMAP+any2,0.8273710104905637,0.009284124750436372,0.8444032366758918,0.012565891748047973,0.037290986445038095,0.03283522662126254,5,0.8273710104905637,0.009284124750436416,0.8444032366758918,0.012565891748047989
